Tienda,Productos,Ingreso,Fecha
1,19,8936,01/01/2019
1,43,8765,02/01/2019
1,30,8235,03/01/2019
1,33,8556,04/01/2019
1,23,7511,05/01/2019
1,21,5263,06/01/2019
1,29,8771,07/01/2019
1,16,8551,08/01/2019
1,20,6471,09/01/2019
1,35,9349,10/01/2019
1,25,7325,11/01/2019
1,31,7801,12/01/2019
1,44,7655,13/01/2019
1,26,8150,14/01/2019
1,50,8289,15/01/2019
1,37,8535,16/01/2019
1,24,5109,17/01/2019
1,28,9773,18/01/2019
1,42,9372,19/01/2019
1,39,8898,20/01/2019
1,15,5578,21/01/2019
1,20,8717,22/01/2019
1,33,8763,23/01/2019
1,39,9335,24/01/2019
1,30,6797,25/01/2019
1,27,8246,26/01/2019
1,21,8723,27/01/2019
1,38,8543,28/01/2019
1,28,6562,29/01/2019
1,32,7511,30/01/2019
1,48,5945,31/01/2019
1,25,6365,01/02/2019
1,47,7927,02/02/2019
1,50,6345,03/02/2019
1,38,5918,04/02/2019
1,30,6775,05/02/2019
1,20,6268,06/02/2019
1,38,5369,07/02/2019
1,28,7723,08/02/2019
1,32,7984,09/02/2019
1,49,5695,10/02/2019
1,42,8576,11/02/2019
1,41,5860,12/02/2019
1,24,8003,13/02/2019
1,24,9257,14/02/2019
1,19,5931,15/02/2019
1,27,5386,16/02/2019
1,29,6675,17/02/2019
1,47,7105,18/02/2019
1,29,9093,19/02/2019
1,41,8963,20/02/2019
1,23,8463,21/02/2019
1,29,8338,22/02/2019
1,17,7438,23/02/2019
1,48,8593,24/02/2019
1,29,8546,25/02/2019
1,38,7816,26/02/2019
1,21,6583,27/02/2019
1,29,9198,28/02/2019
1,31,7230,01/03/2019
1,48,5713,02/03/2019
1,28,8736,03/03/2019
1,39,6102,04/03/2019
1,33,5210,05/03/2019
1,46,5862,06/03/2019
1,39,9234,07/03/2019
1,37,7463,08/03/2019
1,41,5717,09/03/2019
1,49,7182,10/03/2019
1,28,7472,11/03/2019
1,44,9287,12/03/2019
1,33,8800,13/03/2019
1,43,8669,14/03/2019
1,34,9572,15/03/2019
1,48,6329,16/03/2019
1,32,7818,17/03/2019
1,46,9565,18/03/2019
1,40,8508,19/03/2019
1,50,7024,20/03/2019
1,23,8978,21/03/2019
1,48,9286,22/03/2019
1,38,5486,23/03/2019
1,28,5260,24/03/2019
1,47,5656,25/03/2019
1,24,7989,26/03/2019
1,25,7747,27/03/2019
1,23,8270,28/03/2019
1,35,8502,29/03/2019
1,16,8392,30/03/2019
1,47,7437,31/03/2019
1,41,9595,01/04/2019
1,26,6627,02/04/2019
1,22,5884,03/04/2019
1,46,5068,04/04/2019
1,28,9057,05/04/2019
1,47,9020,06/04/2019
1,32,9026,07/04/2019
1,38,6374,08/04/2019
1,25,8207,09/04/2019
1,33,6250,10/04/2019
1,38,6889,11/04/2019
1,21,5746,12/04/2019
1,19,5079,13/04/2019
1,44,6282,14/04/2019
1,15,7994,15/04/2019
1,40,8684,16/04/2019
1,23,6727,17/04/2019
1,16,9845,18/04/2019
1,25,6538,19/04/2019
1,21,8323,20/04/2019
1,36,5069,21/04/2019
1,16,7147,22/04/2019
1,17,9658,23/04/2019
1,46,7820,24/04/2019
1,15,9741,25/04/2019
1,25,8552,26/04/2019
1,25,7373,27/04/2019
1,16,6278,28/04/2019
1,24,5926,29/04/2019
1,27,6622,30/04/2019
1,39,8336,01/05/2019
1,37,8065,02/05/2019
1,29,9128,03/05/2019
1,23,9127,04/05/2019
1,26,7023,05/05/2019
1,44,7665,06/05/2019
1,47,7426,07/05/2019
1,22,6043,08/05/2019
1,48,5348,09/05/2019
